	title	relation	batch	covariate	array_strip_address	array_hyb_address
GSM996658	MBP	GSM1516788	4634633002	MBP	4634633002_F_2	4634633002_F
GSM996659	Manitol	GSM1516802	4637105025	Manitol	4637105025_A_1	4637105025_A
GSM996660	TV.35	GSM1516866	4682416087	TV.Marker	4682416087_D_2	4682416087_D
GSM996661	TV.66	GSM1516868	4682416087	TV.Marker	4682416087_E_2	4682416087_E
GSM996662	Medium.01	GSM1516822	4634633043	M	4634633043_F_1	4634633043_F
GSM996663	Medium.02	GSM1516840	4682416090	M	4682416090_C_1	4682416090_C
GSM996664	Medium.03	GSM1516860	4682416087	M	4682416087_B_1	4682416087_B
GSM996665	Medium.04	GSM1516878	4763646004	M	4763646004_D_2	4763646004_D
GSM996666	Medium.05	GSM1516886	4763646030	M	4763646030_B_2	4763646030_B
GSM996667	Medium.06	GSM1516894	4763646030	M	4763646030_F_2	4763646030_F
GSM996668	Medium.07	GSM1516906	4763646012	M	4763646012_F_1	4763646012_F
GSM996669	Medium.08	GSM1516918	4763646026	M	4763646026_F_2	4763646026_F
GSM996670	Medium.09	GSM1516930	4763128059	M	4763128059_F_2	4763128059_F
GSM996671	Medium.10	GSM1516942	4763128060	M	4763128060_F_1	4763128060_F
GSM996672	Medium.11	GSM1516954	5216898004	M	5216898004_F_1	5216898004_F
GSM996673	Medium.12	GSM1516966	5216898008	M	5216898008_F_2	5216898008_F
GSM996674	Medium.13	GSM1516978	5216898012	M	5216898012_F_1	5216898012_F
GSM996675	Medium.14	GSM1516990	5216898024	M	5216898024_F_2	5216898024_F
GSM996676	RS_h.1	GSM1516874	4763646004	GA.RS.HD	4763646004_B_1	4763646004_B
GSM996677	RS_h.2	GSM1516882	4763646004	GA.RS.HD	4763646004_F_2	4763646004_F
GSM996678	RS_h.3	GSM1516890	4763646030	GA.RS.HD	4763646030_D_1	4763646030_D
GSM996679	RS.02	GSM1516824	4682416019	RS	4682416019_A_2	4682416019_A
GSM996680	RS.05	GSM1516872	4763646004	RS	4763646004_A_2	4763646004_A
GSM996681	RS.06	GSM1516880	4763646004	RS	4763646004_E_1	4763646004_E
GSM996682	RS.07	GSM1516888	4763646030	RS	4763646030_C_1	4763646030_C
GSM996683	RS.08	GSM1516896	4763646012	RS	4763646012_A_1	4763646012_A
